Serial Number,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Residential Type
140322,2014,Norwich,61 PEARL ST,72000,63000,1.142857143,Two Family
180952,2018,Bristol,181 CAMP ST,96950,170000,0.5702,Single Family
170241,2017,Bloomfield,1 HILL FARM RD,129710,193000,0.672,Single Family
140284,2014,Torrington,36 BEECHWOOD AVE,83070,62400,1.33125,Single Family
130237,2013,Simsbury,37 1/2 WILDWOOD ROAD,242820,480000,0.505875,Single Family
200825,2020,Greenwich,21 SHOAL POINT LANE,3211320,5300000,0.6059,Residential
11119,2011,Glastonbury,275 SPRING ST EXT,185000,223000,0.829596413,Single Family
20731,2020,Hartford,596 BROADVIEW TER,55370,246052,0.225,Residential
130155,2013,Waterford,39 BRILL AVE,120610,140000,0.8615,Single Family
190606,2019,Southington,344 ANDREWS ST,524270,650000,0.8066,Single Family
61340,2006,Norwalk,9 COBBLERS LN,227710,442500,0.51459887,Single Family
120018,2012,Haddam,15 BEAVER MEADOW RD,217620,200000,1.0881,Single Family
150059,2015,Brookfield,20 ANDOVER CT,96950,116500,0.832188841,Condo
140032,2014,East Haddam,103 MOTT LANE,259900,390000,0.666410256,Single Family
80222,2008,Plainville,190 TOMLINSON AVE 3F,125090,159000,0.78672956,Condo
14000010,2014,Granby,53 BUTTLES RD,168070,237000,0.709156118,Single Family
60175,2006,Stratford,124 OAKLAND ST,165760,257000,0.644980545,Single Family
90048,2009,Vernon,201-8A REGAN RD,80710,124900,0.646196958,Condo
90837,2009,Danbury,55 CHAMBERS RD,279900,365000,0.766849315,Single Family
12107,2012,East Hartford,168-170 HIGH ST,90300,86800,1.040322581,Two Family
900016,2009,Harwinton,131 CAMPVILLE HILL RD,149160,200000,0.7458,Single Family
130212,2013,Southington,68 ANNE RD,199250,211299,0.94297654,Single Family
210967,2021,Southington,9 WHIPPOORWILL RD,290470,485000,0.5989,Residential
200459,2020,Torrington,841 MAIN ST,159580,225000,0.7092,Residential
70758,2007,Hamden,67 FANS ROCK RD,181860,272500,0.667376147,Single Family
140006,2014,Windham,455 & 455R ASH ST,75130,75000,1.001733333,Single Family
210010,2021,Clinton,92 GROVE ST,327600,630000,0.52,Residential
70209,2007,Shelton,145 CANAL ST #218,183050,279900,0.653983566,Condo
800105,2008,Newtown,40 BOGGS HILL ROAD,515280,802500,0.642093458,Single Family
11026,2011,Deep River,391 MAIN ST # 504,98560,152000,0.648421053,Condo
80158,2008,Stratford,25 HORACE STREET,206640,340000,0.607764706,Single Family
120803,2012,Bridgeport,668-670 GRAND STREET,136580,35000,3.902285714,Two Family
1500351,2015,East Haven,18 HAMPTON RD,203230,252500,0.804871287,Single Family
160161,2016,New Fairfield,402 STONEY WAY,141500,74902,1.889135137,Condo
211200016,2021,Woodbury,8 BOXWOOD CT,89320,170000,0.5254,Residential
130171,2013,Farmington,2 PEARL ST,212050,380000,0.558026316,Single Family
210385,2021,South Windsor,27-F AMATO DR,71100,112000,0.6348,Residential
900038,2009,Lisbon,13 REGINA AVE,153200,200000,0.766,Single Family
17047,2017,Wilton,45 BRIARDALE PL,606340,925000,0.6555,Single Family
190153,2019,Glastonbury,28 WHITNEY LN,159500,230000,0.6935,Condo
140100,2014,New London,42 MORGAN ST,86730,155000,0.559548387,Single Family
70461,2007,Enfield,2 BELLANTUONO AVE,175350,235000,0.746170213,Single Family
60080,2006,Monroe,24 SQUIRE RD,408940,682500,0.599179487,Single Family
201121,2020,Bristol,369 PARK ST,162340,299900,0.5413,Residential
120586,2012,Westport,40 WHITNEY GLEN DR,221300,280000,0.790357143,Single Family
210168,2021,North Branford,692 FOREST RD,184000,275000,0.669,Residential
70270,2007,East Haven,83 FRENCH AVE,156780,209000,0.750143541,Single Family
15046,2015,Bethlehem,237 CRANE HOLLOW RD,240900,275000,0.876,Single Family
150465,2015,Simsbury,28 MADISON LANE,196180,299000,0.656120401,Single Family
